date,Mauna Loa CO2,HOT pCO2,BATS pCO2,ESTOC pCO2,HOT pH,BATS pH,ESTOC pH
6/26/1996,,344.8,,,8.0902,,
7/9/1996,,,,357.17,,,8.098708614
7/9/1996,,,386.9067318,,,8.05883632,
7/15/1996,363.82,,,,,,
7/27/1996,,346.8,,,8.0889,,
8/6/1996,,,384.0998682,,,8.062076289,
8/15/1996,361.24,,,,,,
8/21/1996,,352.7,,,8.0829,,
9/15/1996,358.86,,,,,,
9/27/1996,,,,374.83,,,8.080059032
10/2/1996,,352.7,,,8.0836,,
10/9/1996,,,366.7012567,,,8.080524423,
10/15/1996,359.39,,,,,,
10/30/1996,,345.8,,,8.0924,,
10/30/1996,,,,376.88,,,8.078285509
11/6/1996,,,341.8914134,,,8.106732533,
11/15/1996,360.89,,,,,,
12/11/1996,,337.8,,,8.1014,,
12/12/1996,,,328.0721017,,,8.122725511,
12/15/1996,362.09,,,,,,
12/17/1996,,,,347.25,,,8.109145424
1/8/1997,,330.4,,,8.1102,,
1/10/1997,,,,340.15,,,8.116879993
1/14/1997,,,312.8313209,,,8.143485311,
1/15/1997,363.01,,,,,,
2/7/1997,,,318.6601905,,,8.136509936,
2/15/1997,364.21,,,,,,
2/18/1997,,353,,,8.0856,,
3/5/1997,,,327.7750149,,,8.127240425,
3/12/1997,,328,,,8.1138,,
3/15/1997,,,,354.46,,,8.10132723
3/15/1997,364.74,,,,,,
4/9/1997,,326.2,,,8.1155,,
4/9/1997,,,328.0983391,,,8.127175823,
4/14/1997,,,,352.57,,,8.104155756
4/15/1997,366.18,,,,,,
5/6/1997,,,327.9024439,,,8.127143805,
5/7/1997,,338.2,,,8.101,,
5/14/1997,,,,357.06,,,8.099532905
5/15/1997,366.65,,,,,,
6/4/1997,,333.3,,,8.1058,,
6/11/1997,,,,379.88,,,8.076372311
6/11/1997,,,357.8617201,,,8.091487212,
6/13/1997,,,,377.66,,,8.07869898
6/15/1997,365.56,,,,,,
7/4/1997,,,,381.65,,,8.073699369
7/9/1997,,350,,,8.0895,,
7/15/1997,364.02,,,,,,
8/2/1997,,351,,,8.089,,
8/12/1997,,,405.6276858,,,8.0452279,
8/15/1997,362.32,,,,,,
9/12/1997,,,370.6501818,,,8.076161487,
9/15/1997,360.11,,,,,,
9/25/1997,,359.2,,,8.0805,,
10/7/1997,,,369.9724073,,,8.074683712,
10/15/1997,360.5,,,,,,
11/5/1997,,,,379.07,,,8.075034272
11/12/1997,,,339.281587,,,8.110015705,
11/15/1997,362.46,,,,,,
12/3/1997,,,,370.94,,,8.084542956
12/5/1997,,333.2,,,8.1083,,
12/9/1997,,,336.7067149,,,8.114058421,
12/15/1997,363.95,,,,,,
1/11/1998,,332.5,,,8.1097,,
1/15/1998,365,,,,,,
1/21/1998,,,,355.04,,,8.101517398
2/12/1998,,,320.4626368,,,8.134281556,
2/15/1998,365.72,,,,,,
2/18/1998,,,,343.87,,,8.11320555
2/19/1998,,330.1,,,8.1135,,
